analysis_period,gvkey,commodity,alpha,beta,p_value_beta,r_squared,spearman_corr,spearman_pval
Up to end_of_2010,3007,SN1 Comdty,0.13422004212011523,4.866925395718348e-06,2.756394395385835e-25,0.37648803133486897,0.7782852378097791,3.530530083626394e-48
Up to end_of_2010,3026,SN1 Comdty,5.667591913567143,-3.000239423209477e-05,0.00018003789893572514,0.07099413932058363,-0.5093425865458225,3.9013242662040035e-14
Up to end_of_2010,3028,SN1 Comdty,0.2335708128051209,7.77729847726566e-06,6.821344968752314e-10,0.39595216596377947,0.4923588586123697,4.6795450043592386e-06
Up to end_of_2010,3107,SN1 Comdty,0.17163000648660734,-1.5433975676427825e-06,1.227915201668618e-11,0.3667470163231946,-0.5975875300011612,2.666152106594344e-11
Up to end_of_2010,3121,SN1 Comdty,5.169839421272633,-6.928247507790378e-06,0.3338074372324773,0.00494300126756575,-0.08344075799186579,0.2511308831265846
Up to end_of_2010,3138,SN1 Comdty,1.1060640629271783,-1.5145261943694032e-05,1.175382460856411e-25,0.3590158006695626,-0.7177143208040416,1.0570288865321758e-40
Up to end_of_2010,3144,SN1 Comdty,16.47569437453875,5.279163175324688e-05,0.0008662518720548309,0.04366012608118719,-0.09932227191351525,0.11651059613353315
Up to end_of_2010,3158,SN1 Comdty,2.579398150755159,3.883924232435677e-05,3.4505850624097347e-37,0.4769485779457451,0.3050149490525671,7.579458542880256e-07
Up to end_of_2010,3170,SN1 Comdty,1817.3167113316756,0.005977480383125178,0.1164856826205884,0.08567680267998412,0.1604004449388209,0.3971508169232242
Up to end_of_2010,3221,SN1 Comdty,2.905074904279391,3.7844606679653724e-05,3.8197812245795645e-12,0.175715384503368,0.2841916709863656,4.565170961117564e-06
Up to end_of_2010,3226,SN1 Comdty,188.2955285714282,-0.004892345013477079,,1.0,-0.9999999999999999,
Up to end_of_2010,3231,SN1 Comdty,59.10969797416952,-0.00010730849596508478,0.0009740163822700618,0.06360375403300089,-0.4865462013851766,2.2832677940868714e-11
Up to end_of_2010,3238,SN1 Comdty,6.4740736219819786,0.0009731254837825081,1.0429164327899476e-20,0.2986000552626211,0.7305627859575895,1.2139041929098641e-42
Up to end_of_2010,3243,SN1 Comdty,10.301685097462574,4.278645471420999e-05,0.028704860916470856,0.040241827440455125,-0.13179863800762567,0.15305641141395304
Up to end_of_2010,3246,SN1 Comdty,0.4176294225225576,-4.572797612436875e-06,6.703991342861046e-21,0.3021155982932522,-0.7158041474346954,4.374510730665633e-40
Up to end_of_2010,3278,SN1 Comdty,1.7656489774664184,-1.0539928596034902e-05,2.9413327554580957e-08,0.11726187864313597,-0.5358845361369757,6.538112004803795e-20
Up to end_of_2010,3413,SN1 Comdty,11.28007973985513,0.00023406897283645135,1.8041062142739653e-52,0.6015516016186058,0.65611658189873,8.948815087694013e-33
Up to end_of_2010,3439,SN1 Comdty,4.287229412758744,1.2543214609289324e-05,0.00020944306481558727,0.05297777352424471,0.07696317355083171,0.22065714293816316
Up to end_of_2010,3504,SN1 Comdty,5.859060933063311,-4.8855523931758024e-05,3.296285440803514e-30,0.40462924000094147,-0.7386132817115708,4.723664842605718e-45
Up to end_of_2010,3505,SN1 Comdty,41.78322457411841,0.0012156416616512919,2.036863836981782e-68,0.7046245491079504,0.7894068953665879,4.0791632982417464e-55
Up to end_of_2010,3532,SN1 Comdty,129.1059228899659,1.0565232738353281e-05,0.9200439269968217,3.9589791005711916e-05,-0.21210560565685313,0.0006198813918526619
Up to end_of_2010,3562,SN1 Comdty,97.10611129056063,-0.00018725387885198635,0.005108433328714969,0.0303381014841837,-0.19117598715906137,0.0020819511974783165
Up to end_of_2010,3570,SN1 Comdty,21.043604163727753,-0.0001870269354007968,8.006267430675275e-31,0.41881352255245596,-0.7492577061667386,6.39813290294494e-46
Up to end_of_2010,3580,SN1 Comdty,1044.7506704892485,0.014911092375510776,0.7537236019118501,0.02150337921904133,-0.10714285714285716,0.8191508555699912
Up to end_of_2010,3643,SN1 Comdty,0.8829001308107047,-1.5125757287531196e-05,5.818385030112901e-39,0.5005899761225785,-0.8309466030429077,1.3858777698621018e-64
Up to end_of_2010,3650,SN1 Comdty,0.324653276755097,2.526412418245251e-05,4.307151883012908e-34,0.45449212928315574,0.7004837563656153,9.254131550507239e-38
Up to end_of_2010,3708,SN1 Comdty,75.50026050060467,-0.00028228565347467917,0.0338235047326137,0.038568388793823294,-0.46453365303887073,1.3208514182878073e-07
Up to end_of_2010,3813,SN1 Comdty,0.37584590510000215,7.466565105713945e-05,1.2708114081077117e-67,0.7567483242946281,0.8538786849313944,1.2975923971199652e-62
Up to end_of_2010,3835,SN1 Comdty,0.706031791173002,1.6263952231898357e-05,2.119640583726888e-39,0.5177207725220381,0.525148388656367,2.4197701058394077e-18
Up to end_of_2010,3851,SN1 Comdty,0.8546601230104932,5.942749831626628e-05,6.719082931403769e-44,0.5735973042397021,0.4698995606955101,5.5820063241449135e-14
