z_score,stock,sector,fundamental_z_score,economic_z_score,fundamental_factors_used,economic_factors_used,total_factors_used
0.1484908700300939,20534,101020,,0.1484908700300939,0,15,15
0.14328928985289616,7065,403010,0.020350890432060002,0.2662276892737323,12,15,27
0.14186839339560275,9846,551010,0.019207158637112868,0.26452962815409264,13,15,28
0.13988512803150677,65343,301010,0.01956472305894404,0.2602055330040695,13,15,28
0.13615185265179727,17248,401010,,0.13615185265179727,0,15,15
0.13459172296588284,29875,601060,,0.13459172296588284,0,15,15
0.1259220649186778,35447,451030,,0.1259220649186778,0,15,15
0.11733741769056222,61711,352010,0.020633491021116637,0.2140413443600078,12,15,27
0.11004514051769074,17132,401010,,0.11004514051769074,0,15,15
0.10874248090306114,10581,201060,0.019142042593044535,0.19834291921307776,13,15,28
0.10349417482810615,25313,351010,0.020329263959220283,0.18665908569699202,14,15,29
0.08660117223783019,27823,351010,0.015672129919195883,0.1575302145564645,14,15,29
0.083739421915119,66379,253020,0.015751587275052624,0.15172725655518537,14,15,29
0.08084637666141559,31109,101020,0.01898693812385456,0.14270581519897663,13,15,28
0.07968416199498732,25756,452020,,0.07968416199498732,0,15,15
0.07311831675744658,2101,201070,0.01913979178881155,0.1270968417260816,13,15,28
0.0712305139133558,66016,302020,0.01843929643677235,0.12402173138993924,13,15,28
0.07042830532566366,16710,452010,0.0034159746513065595,0.13744063600002077,12,15,27
0.06999899552227325,65106,401010,,0.06999899552227325,0,15,15
0.06467645059222535,29133,452030,0.015273206991189092,0.11407969419326161,14,15,29
0.06426443047461057,19094,401010,,0.06426443047461057,0,15,15
0.06348420497864997,33767,252010,,0.06348420497864997,0,15,15
0.06234522435441112,14311,252020,0.015605171395393054,0.1090852773134292,14,15,29
0.06204743463606058,35868,451030,0.015210412522633667,0.10888445674948749,14,15,29
0.0612453612808435,11781,101020,,0.0612453612808435,0,15,15
0.0575622603103202,20116,202020,0.015018452550482708,0.10010606807015769,14,15,29
0.05693734433344916,22086,401010,,0.05693734433344916,0,15,15
0.05595232123710492,64901,202020,0.019285001269974355,0.09261964120423548,13,15,28
0.05129767708391901,28180,255040,0.05129767708391901,,14,0,14
0.0494357189345841,25180,201060,0.01447053002315758,0.08440090784601062,14,15,29
0.046950852227915375,7741,351020,0.021394623459304818,0.07250708099652593,13,15,28
0.046763822880413586,18241,401010,,0.046763822880413586,0,15,15
0.04611243840992691,29868,601070,,0.04611243840992691,0,15,15
0.04524976043319972,24616,402010,0.015485299551279866,0.07501422131511958,14,15,29
0.04157583709937723,29733,151020,0.019498496953755762,0.06365317724499871,13,15,28
0.04110417145478497,62979,401010,,0.04110417145478497,0,15,15
0.03907134396055845,65290,601040,,0.03907134396055845,0,15,15
0.03891978793923696,4036,201060,0.019056697847026058,0.05878287803144787,13,15,28
0.03798793275576852,33766,452030,,0.03798793275576852,0,15,15
0.03786197905570701,64891,252030,0.015662185175910677,0.06006177293550335,14,15,29
0.03711794671039513,14954,201060,0.019141739913349366,0.05509415350744089,13,15,28
0.03514494392160224,20779,452010,0.014738203362520012,0.055551684480684455,14,15,29
0.0311001046491436,16401,453010,0.0191602698314519,0.0430399394668353,13,15,28
0.03081776302239192,28806,352010,0.01910958781039071,0.04252593823439313,13,15,28
0.03063302412382283,11600,201060,0.03063302412382283,,14,0,14
0.02924333174237948,61181,351010,0.01910499831706609,0.03938166516769287,13,15,28
0.028492251752944626,6774,201010,0.01912286770250295,0.037861635803386307,13,15,28
0.027406833470242985,23978,151040,0.01918054735815093,0.03563311958233504,13,15,28
0.027193548419772062,21352,351010,0.027193548419772062,,13,0,13
0.026731351209011947,33718,301010,0.017155140564306223,0.036307561853717675,13,15,28
0.02649911903277976,6386,201060,0.01923715646294739,0.03376108160261213,13,15,28
0.025190168605271023,7585,452010,0.015277529263245751,0.0351028079472963,14,15,29
0.024989252226751434,23809,255040,0.03398925789226624,0.015989246561236625,14,15,29
0.024980883677310647,66586,452030,,0.024980883677310647,0,15,15
0.02473272472395551,30870,451030,0.02473272472395551,,14,0,14
0.024187191059064493,9611,253020,0.019142409708541103,0.029231972409587883,13,15,28
0.02414341520323214,3851,203020,0.016649402088730145,0.03163742831773413,14,15,29
0.024009294348852038,28176,151030,0.024009294348852038,,13,0,13
0.023974195779980303,3863,202010,0.023974195779980303,,14,0,14
0.023638236540320944,63927,301010,0.023638236540320944,,13,0,13
0.02325582235426609,10999,551030,0.02325582235426609,,13,0,13
0.022938961867757977,28866,401010,,0.022938961867757977,0,15,15
0.022534582427044404,21429,201030,0.01913899385374406,0.025930171000344747,13,15,28
0.021892010139654337,5046,201010,0.019150865528566582,0.02463315475074209,13,15,28
0.02078455363411537,28320,452030,0.029083962957057796,0.012485144311172938,14,15,29
0.020781413397208633,23843,253010,0.011032502076311661,0.030530324718105607,14,15,29
0.020753888594667896,19507,601080,0.01915358062934666,0.022354196559989135,13,15,28
0.020603652336975146,3226,502010,0.020603652336975146,,12,0,12
0.020526234617730895,20126,201020,0.01608455560120549,0.0249679136342563,14,15,29
0.02039397081520669,22260,351020,0.02039397081520669,,13,0,13
0.02039327572331245,6066,451020,0.02039327572331245,,13,0,13
0.01997129997568872,38412,451030,0.01997129997568872,,13,0,13
0.019949330838789744,26864,101020,0.019949330838789744,,13,0,13
0.019937623655648072,24302,352010,0.019104341743047544,0.0207709055682486,13,15,28
0.019719053053925212,328795,201030,0.019719053053925212,,13,0,13
0.019528214166143462,38954,451030,0.019528214166143462,,13,0,13
0.019451629186005452,5256,201070,0.015262705885460713,0.023640552486550188,14,15,29
0.019354623556053854,6136,502010,0.019354623556053854,,13,0,13
0.01929434047474572,16486,201070,0.01929434047474572,,13,0,13
0.019285835987654883,15343,201060,0.019285835987654883,,13,0,13
0.019278315734465475,36203,452030,0.019278315734465475,,13,0,13
0.019263733056926,37382,202020,0.019263733056926,,13,0,13
0.019238586879923397,10920,203010,0.019238586879923397,,13,0,13
0.019201966767873196,27965,453010,0.019201966767873196,,13,0,13
0.01919855387572204,10247,301010,0.01919855387572204,,13,0,13
0.019170286774446193,4462,151010,0.019170286774446193,,13,0,13
0.019163546461949524,7420,202010,0.019163546461949524,,13,0,13
0.01916314469604605,24216,551050,0.01916314469604605,,13,0,13
0.019162548204390846,4510,151010,0.019162548204390846,,13,0,13
0.0191564683566742,23753,251010,0.0191564683566742,,13,0,13
0.019156406552256856,264193,203040,0.019156406552256856,,13,0,13
0.01915301533966875,3336,451020,0.01915301533966875,,13,0,13
0.019152303573920216,138483,352030,0.019152303573920216,,13,0,13
0.01914610228366477,1773,452030,0.01914610228366477,,13,0,13
0.0191452986907577,35497,351010,0.0191452986907577,,13,0,13
0.019144518194079835,4060,151010,0.019144518194079835,,13,0,13
0.01913152660478143,24157,402020,0.01913152660478143,,13,0,13
0.019122240622529034,1078,351010,0.019122240622529034,,13,0,13
0.019120676065061265,1380,101020,0.019120676065061265,,13,0,13
0.01910329951247098,24782,352020,0.01910329951247098,,13,0,13
0.019081884562628243,148349,201010,0.019081884562628243,,13,0,13
0.01907336963536656,30098,201060,0.01907336963536656,,13,0,13
0.019041274071304105,12625,203040,0.019041274071304105,,13,0,13
0.01900363445744799,11376,352030,0.01900363445744799,,13,0,13
0.018973746932431073,6104,151030,0.018973746932431073,,13,0,13
0.018951700663552378,9850,551010,0.018951700663552378,,13,0,13
0.018876682459841528,10789,451030,0.018876682459841528,,13,0,13
0.01882380356575922,23027,202020,0.01882380356575922,,13,0,13
0.01878448943493464,25124,151010,0.01878448943493464,,13,0,13
0.018705028812472203,15267,201060,0.018705028812472203,,14,0,14
0.018616517181278547,29028,301010,0.018616517181278547,,13,0,13
0.018550905732011083,20185,151010,0.018550905732011083,,13,0,13
0.018509300308961023,1722,302020,0.018509300308961023,,13,0,13
0.01850718051758011,1300,201050,0.01850718051758011,,13,0,13
0.018461161122483062,61581,302010,0.018461161122483062,,11,0,11
0.0181303268813526,12471,101020,0.019147811065996667,0.017112842696708534,13,15,28
0.01798985365654621,3107,151040,0.01921945396075961,0.016760253352332808,13,15,28
0.017640178815107405,63172,402030,0.019161572972830155,0.01611878465738465,13,15,28
0.017522540302311162,4199,201040,0.017522540302311162,,13,0,13
0.017177931543646177,37309,453010,0.017177931543646177,,14,0,14
0.017118694368062837,33421,403010,0.017118694368062837,,14,0,14
0.01706850380116255,4503,101020,0.01706850380116255,,12,0,12
0.017067043646495344,264416,453010,0.017067043646495344,,12,0,12
0.01681904257999352,64389,151030,0.01681904257999352,,12,0,12
0.016780569670025367,11672,255040,0.016780569670025367,,14,0,14
0.01621831981673003,64690,251010,0.01621831981673003,,13,0,13
0.016197095479591472,23077,601080,,0.016197095479591472,0,15,15
0.016169737112060604,26061,502030,0.016169737112060604,,13,0,13
0.01590730137859728,33243,253010,0.01590730137859728,,14,0,14
0.01589570831946458,10499,453010,0.01589570831946458,,11,0,11
0.01557864149443357,3028,253010,0.01557864149443357,,14,0,14
0.015529645459889227,260893,451030,0.015529645459889227,,14,0,14
0.015507504741994872,19402,252030,0.015507504741994872,,11,0,11
0.015382775833407615,29011,253010,0.015817499849806738,0.014948051817008493,14,15,29
0.015362151852174762,12379,201020,0.015362151852174762,,14,0,14
0.015343587084930114,5606,452020,0.015343587084930114,,14,0,14
0.015339203983416271,39122,253020,0.01532183146146169,0.015356576505370851,14,15,29
0.015331645225502694,29609,302020,0.015331645225502694,,14,0,14
0.015274525984567565,21808,253010,0.015274525984567565,,14,0,14
0.01520947503304228,11060,252030,0.01520947503304228,,14,0,14
0.015206660573507627,7116,252020,0.015206660573507627,,14,0,14
0.015202606299915997,14418,253010,0.015202606299915997,,14,0,14
0.015201791255279427,11300,253020,0.01920263163002871,0.011200950880530143,13,15,28
0.015193855674389658,171141,255040,0.015193855674389658,,14,0,14
-0.06717803184081342,18938,352010,,-0.06717803184081342,0,15,15
-0.06724926218171492,29901,202010,0.015641958533640518,-0.15014048289707038,14,15,29
-0.06740031808054546,11094,201030,0.019228907670386507,-0.15402954383147743,13,15,28
-0.06757629309663932,29127,352010,0.02063194748758108,-0.1557845336808597,12,15,27
-0.06760586252113757,40614,551010,0.019142931686179036,-0.15435465672845416,13,15,28
-0.06775517903351755,9899,501010,0.015389473819992807,-0.1508998318870279,14,15,29
