EcoSeriesID,PeriodDate,Series_Value,DSMnemonic
594,2015-03-01,102.335,USI76...F
594,2017-01-01,98.599,USI76...F
594,2015-11-01,100.48746005,USI76...F
594,2013-06-01,108.01729648,USI76...F
594,2010-11-01,102.822,USI76...F
594,2015-01-01,102.335,USI76...F
594,2012-04-01,109.401,USI76...F
594,2014-12-01,104.20304569,USI76...F
594,2011-01-01,104.85279188,USI76...F
594,2020-03-01,103.89381463,USI76...F
594,2018-10-01,105.95555556,USI76...F
594,2011-11-01,107.777,USI76...F
594,2018-02-01,103.80417372,USI76...F
594,2015-12-01,97.299492386,USI76...F
594,2016-09-01,97.868020305,USI76...F
594,2016-12-01,98.3553,USI76...F
594,2019-10-01,101.60406091,USI76...F
594,2016-09-01,97.868,USI76...F
594,2017-12-01,102.63884189,USI76...F
594,2016-12-01,98.5178,USI76...F
594,2011-06-01,109.23857868,USI76...F
594,2016-11-01,98.111675127,USI76...F
594,2010-06-01,99.2487,USI76...F
594,2013-04-01,108.73442376,USI76...F
594,2012-06-01,123.228,USI76...F
594,2013-06-01,107.85786802,USI76...F
594,2016-05-01,99.501410039,USI76...F
594,2017-05-01,100.48746005,USI76...F
594,2014-05-01,108.58883249,USI76...F
594,2013-06-01,107.858,USI76...F
594,2018-04-01,103.06598985,USI76...F
594,2017-05-01,98.8426,USI76...F
594,2016-12-01,98.5178,USI76...F
594,2011-06-01,109.239,USI76...F
594,2016-07-01,98.3553,USI76...F
594,2015-05-01,103.53525099,USI76...F
594,2012-07-01,107.371,USI76...F
594,2019-01-01,101.76649746,USI76...F
594,2013-04-01,108.73442376,USI76...F
594,2010-04-01,99.4924,USI76...F
594,2011-02-01,122.292,USI76...F
594,2013-06-01,107.858,USI76...F
594,2010-04-01,99.4924,USI76...F
594,2011-10-01,107.695,USI76...F
594,2015-08-01,99.8985,USI76...F
594,2023-04-01,122.63959391,USI76...F
594,2014-12-01,104.203,USI76...F
594,2017-04-01,100.9356646,USI76...F
594,2013-03-01,109.15736041,USI76...F
594,2018-05-01,103.79695431,USI76...F
594,2016-08-01,97.5431,USI76...F
594,2015-03-01,102.25380711,USI76...F
